Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio,Payment History,Number of Credit Accounts,Loan Amount,Interest Rate,Loan Term,Type of Loan
28,Male,Single,PhD,Unemployed,0.55,257,6,1654000,13.96,60,Auto Loan
33,Female,Divorced,Master,Self-Employed,0.62,2028,3,663000,9.34,48,Personal Loan
25,Male,Divorced,Master,Employed,0.12,828,1,4634000,7.29,24,Auto Loan
44,Female,Married,Bachelor,Self-Employed,0.07,2085,4,4443000,18.7,60,Auto Loan
59,Male,Divorced,High School,Unemployed,0.47,942,1,371000,7.42,36,Personal Loan
23,Male,Married,Master,Unemployed,0.91,200,4,4240000,2.39,60,Home Loan
22,Female,Married,PhD,Unemployed,0.74,285,9,4116000,18.99,36,Home Loan
26,Male,Single,Bachelor,Unemployed,0.35,1742,5,2011000,1.41,12,Personal Loan
54,Female,Divorced,High School,Unemployed,0.48,1400,7,1151000,9.16,48,Home Loan
27,Female,Married,Master,Self-Employed,0.19,1571,1,2098000,5.41,60,Personal Loan
46,Male,Married,Bachelor,Employed,0.08,457,8,1615000,6.37,36,Auto Loan
61,Male,Single,Bachelor,Unemployed,0.4,2400,2,744000,2.45,60,Personal Loan
65,Female,Married,PhD,Unemployed,0.3,1314,9,2555000,17.51,24,Home Loan
40,Male,Married,Master,Self-Employed,0.71,2257,8,2447000,2.49,24,Home Loan
39,Male,Married,Master,Unemployed,0.82,514,1,2072000,14.27,48,Personal Loan
51,Male,Single,Master,Unemployed,0.38,285,1,2441000,17.24,48,Auto Loan
44,Female,Single,High School,Employed,0.21,657,7,4567000,1.99,36,Personal Loan
42,Male,Divorced,Master,Self-Employed,0.81,2142,4,329000,7.48,60,Auto Loan
23,Male,Divorced,PhD,Unemployed,0.93,1028,9,3988000,9.05,60,Home Loan
30,Female,Single,Bachelor,Employed,0.91,1000,5,818000,19.98,60,Auto Loan
56,Female,Married,Master,Self-Employed,0.27,914,10,204000,3.36,60,Home Loan
36,Male,Single,PhD,Employed,0.44,1685,1,3109000,10.12,60,Personal Loan
23,Male,Single,Master,Employed,0.44,942,5,2277000,17.51,24,Personal Loan
31,Male,Divorced,High School,Employed,0.11,114,3,4351000,17.35,60,Auto Loan
55,Male,Married,Master,Self-Employed,0.02,1285,9,475000,12.41,36,Personal Loan
52,Female,Married,High School,Employed,0.2,2085,6,3589000,2.36,48,Auto Loan
21,Female,Divorced,Master,Self-Employed,0.98,2371,6,4048000,18.91,36,Home Loan
30,Female,Married,Master,Employed,0.91,85,2,1874000,16.35,60,Home Loan
52,Female,Married,PhD,Unemployed,0.03,2628,3,3297000,15.49,12,Personal Loan
56,Female,Divorced,High School,Unemployed,0.8,2200,8,4499000,10.89,36,Auto Loan
56,Female,Married,Master,Employed,0.8,1314,4,3924000,6.98,12,Home Loan
48,Female,Single,High School,Self-Employed,0.56,257,6,4161000,12.5,48,Auto Loan
56,Male,Divorced,Bachelor,Self-Employed,0.67,2428,3,2283000,16.12,36,Auto Loan
25,Female,Single,Bachelor,Unemployed,0.49,2800,4,1609000,17.65,12,Personal Loan
46,Female,Divorced,PhD,Unemployed,0.1,114,7,301000,14.11,12,Personal Loan
53,Female,Single,Master,Employed,0.4,2028,4,2561000,3.26,36,Home Loan
59,Male,Divorced,High School,Employed,0.74,1285,8,3530000,12.99,48,Auto Loan
64,Male,Divorced,Bachelor,Unemployed,0.77,1857,2,1377000,18.02,60,Home Loan
63,Female,Single,Master,Self-Employed,0.18,2628,10,2443000,18.95,12,Personal Loan
51,Female,Married,PhD,Self-Employed,0.32,1142,3,1301000,1.8,24,Auto Loan
37,Female,Married,Master,Self-Employed,0.17,1028,5,4182000,9.34,24,Auto Loan
